operator,operator_type
branch,queue
buffer,queue
collate, queue
collect,value
collectFile,queue
combine,queue
concat,queue
count,value
countFasta,value
countFastq,value
countJson,value
countLines,value
cross,queue
distinct,queue
dump,queue/value
filter,queue
first,value
flatMap,queue
flatten,queue
groupTuple,queue
ifEmpty,value
join,queue
last,value
map,queue
max,value
merge,queue
min,value
mix,queue
multiMap,queue
randomSample,queue
reduce,value
set,nothing
splitCsv,queue
splitFasta,queue
splitFastq,queue
splitJson,queue
splitText,queue
subscribe,nothing
sum,value
take,queue
tap,queue
toInteger,queue
toList,value
toSortedList,value
transpose,queue
unique,queue
until,queue
view,queue
